country_name,country_code_alpha_three,avg
Nicaragua,NIC,0.50176470588235294118
Niger,NER,0.67839215686274509804
Nigeria,NGA,0.66413725490196078431
Niue,NIU,0.04038095238095238095
Norfolk Island,NFK,0.32091304347826086957
Norway,NOR,0.77909803921568627451
Oman,OMN,0.45617647058823529412
Pakistan,PAK,0.35866666666666666667
Palau,PLW,0.68944000000000000000
"Palestinian Territory, Occupied",PSE,0.36392156862745098039
Panama,PAN,0.41166666666666666667
Papua New Guinea,PNG,0.38433333333333333333
Paraguay,PRY,0.36486274509803921569
Peru,PER,0.56770588235294117647
Philippines,PHL,0.52141176470588235294
Pitcairn,PCN,-0.10595000000000000000
Poland,POL,0.80780392156862745098
Portugal,PRT,0.69023529411764705882
Puerto Rico,PRI,0.53974509803921568627
Qatar,QAT,0.66229411764705882353
Romania,ROU,0.62113725490196078431
Russia,RUS,0.94768627450980392157
Russian Federation,RUS,0.94768627450980392157
Rwanda,RWA,0.55845000000000000000
Réunion,REU,0.43497916666666666667
"Saint Helena, Ascension and Tristan da Cunha",SHN,0.76890196078431372549
Saint Kitts and Nevis,KNA,0.44864000000000000000
Saint Lucia,LCA,0.42376470588235294118
Saint Pierre and Miquelon,SPM,0.23996078431372549020
Saint Vincent & the Grenadines,VCT,0.42174509803921568627
Saint Vincent and the Grenadines,VCT,0.42174509803921568627
Samoa,WSM,0.34785416666666666667
San Marino,SMR,0.68966666666666666667
Sao Tome and Principe,STP,0.56419148936170212766
Saudi Arabia,SAU,0.52166666666666666667
Senegal,SEN,0.91674509803921568627
Serbia,SRB,1.5607333333333333
Seychelles,SYC,0.38805882352941176471
Sierra Leone,SLE,0.61554000000000000000
Singapore,SGP,0.24160000000000000000
Slovakia,SVK,0.75382352941176470588
Slovenia,SVN,1.4581034482758621
Solomon Islands,SLB,0.27556250000000000000
Somalia,SOM,0.69547058823529411765
South Africa,ZAF,0.50858823529411764706
South Georgia and the South Sandwich Islands,SGS,0.18757777777777777778
South Korea,KOR,0.54049019607843137255
South Sudan,SSD,0.96760000000000000000
Spain,ESP,0.70609803921568627451
Sri Lanka,LKA,0.60392156862745098039
St. Vincent and the Grenadines,VCT,0.42174509803921568627
Sudan,SDN,0.53568627450980392157
Suriname,SUR,0.63450980392156862745
Svalbard and Jan Mayen,SJM,1.2361176470588235
Swaziland,SWZ,0.43247058823529411765
Sweden,SWE,0.87064705882352941176
Switzerland,CHE,0.86031372549019607843
Syrian Arab Republic,SYR,0.51635294117647058824
Taiwan,TWN,0.38274509803921568627
"Taiwan, Province of China",TWN,0.38274509803921568627
Tajikistan,TJK,0.96134482758620689655
"Tanzania, United Republic of",TZA,0.50939215686274509804
Thailand,THA,0.54460784313725490196
Timor-Leste,TLS,0.51602500000000000000
Togo,TGO,0.67066666666666666667
Tokelau,TKL,0.23118181818181818182
Tonga,TON,0.35127450980392156863
Trinidad and Tobago,TTO,0.38462000000000000000
Tunisia,TUN,0.80801960784313725490
Turkey,TUR,0.45203921568627450980
Turkmenistan,TKM,1.1140344827586207
Turks and Caicos Islands,TCA,0.00170000000000000000
Tuvalu,TUV,0.42606122448979591837
Uganda,UGA,0.52898039215686274510
Ukraine,UKR,1.2295517241379310
United Arab Emirates,ARE,0.49729411764705882353
United Kingdom,GBR,0.54374509803921568627
United States,USA,0.56056862745098039216
United States Minor Outlying Islands,UMI,0.36924637681159420290
Uruguay,URY,0.45533333333333333333
Uzbekistan,UZB,1.1321034482758621
Vanuatu,VUT,0.34394117647058823529
Venezuela,VEN,0.40186274509803921569
"Venezuela, Bolivarian Republic of",VEN,0.40186274509803921569
Viet Nam,VNM,0.49419607843137254902
Vietnam,VNM,0.49419607843137254902
"Virgin Islands, British",VGB,0.48247058823529411765
"Virgin Islands, U.S.",VIR,0.48149019607843137255
Wallis and Futuna,WLF,0.35915686274509803922
Western Sahara,ESH,0.80207843137254901961
Yemen,YEM,0.24645454545454545455
Zambia,ZMB,0.61170588235294117647
Zimbabwe,ZWE,0.27884313725490196078
