country_name,country_code_alpha_three,avg
Afghanistan,AFG,0.61388235294117647059
Albania,ALB,0.54645098039215686275
Algeria,DZA,0.77000000000000000000
American Samoa,ASM,0.44822916666666666667
Andorra,AND,0.81086274509803921569
Angola,AGO,0.64068627450980392157
Anguilla,AIA,0.46335294117647058824
Antarctica,ATA,0.22576470588235294118
Antigua and Barbuda,ATG,0.44864000000000000000
Argentina,ARG,0.34192156862745098039
Armenia,ARM,1.0462413793103448
Aruba,ABW,0.47612244897959183673
Australia,AUS,0.54574509803921568627
Austria,AUT,0.91750980392156862745
Azerbaijan,AZE,1.0698275862068966
Bahamas,BHS,0.54692156862745098039
Bahrain,BHR,0.66535294117647058824
Bangladesh,BGD,0.24815686274509803922
Barbados,BRB,0.33404081632653061224
Belarus,BLR,1.4750689655172414
Belgium,BEL,1.4574285714285714
Belize,BLZ,0.50564705882352941176
Benin,BEN,0.66347058823529411765
Bhutan,BTN,0.35337254901960784314
Bolivia,BOL,0.42031372549019607843
"Bolivia, Plurinational State of",BOL,0.42031372549019607843
Bosnia and Herzegovina,BIH,1.2152758620689655
Botswana,BWA,0.51815686274509803922
Brazil,BRA,0.63219607843137254902
Brunei,BRN,0.45594117647058823529
Brunei Darussalam,BRN,0.45594117647058823529
Bulgaria,BGR,0.54674509803921568627
Burkina Faso,BFA,0.68280392156862745098
Burma,MMR,0.49694117647058823529
Burundi,BDI,0.60150000000000000000
Cambodia,KHM,0.49696078431372549020
Cameroon,CMR,0.56898039215686274510
Canada,CAN,0.74786274509803921569
Cape Verde,CPV,1.2098958333333333
Cayman Islands,CYM,0.62671111111111111111
Central African Republic,CAF,0.55245098039215686275
Chad,TCD,0.56437254901960784314
Chile,CHL,0.25088235294117647059
China,CHN,0.63597058823529411765
Christmas Island,CXR,0.24451282051282051282
Cocos (Keeling) Islands,CCK,0.35315686274509803922
Colombia,COL,0.39609803921568627451
Comoros,COM,0.27640816326530612245
Congo,COG,0.51960000000000000000
"Congo, the Democratic Republic of the",COD,0.60325490196078431373
Cook Islands,COK,0.54960784313725490196
Costa Rica,CRI,0.23710526315789473684
Croatia,HRV,1.2800344827586207
