country_name,country_code, avg_emissions , avg_deaths , avg_temp_increase 
Guinea,GIN," 1,552,873.2353 ", 2.444 , 0.701 
Guinea-Bissau,GNB," 186,359.8039 ", 1.091 , 0.892 
Guyana,GUY," 1,697,203.2549 ", 3.091 , 0.528 
Haiti,HTI," 1,397,195.4510 ", 257.270 , 0.774 
Honduras,HND," 4,777,470.3333 ", 613.872 , 0.532 
Hong Kong,HKG," 30,436,031.2745 ", 15.875 , 0.422 
Hungary,HUN," 65,985,076.8431 ", 50.458 , 0.750 
Iceland,ISL," 2,535,978.7255 ", -   , 0.437 
India,IND," 984,714,193.6667 "," 2,601.157 ", 0.325 
Indonesia,IDN," 262,883,446.2941 ", 204.400 , 0.393 
Iraq,IRQ," 84,964,978.1373 ", 10.286 , 0.566 
Ireland,IRL," 34,341,376.2549 ", 2.250 , 0.509 
Israel,ISR," 43,689,160.1961 ", 6.133 , 0.364 
Italy,ITA," 402,452,979.0588 ", 447.681 , 0.676 
Jamaica,JAM," 8,085,610.6471 ", 10.960 , 0.645 
Japan,JPN," 1,099,992,624.3725 ", 111.740 , 0.381 
Jordan,JOR," 13,429,464.3529 ", 10.500 , 0.385 
Kazakhstan,KAZ," 222,343,298.9608 ", 10.529 , 1.271 
Kenya,KEN," 8,279,133.9608 ", 67.206 , 0.505 
Kiribati,KIR," 38,086.4706 ", 0.600 , 0.482 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
South Korea,KOR," 353,015,871.6471 ", 108.318 , 0.540 
Kuwait,KWT," 51,611,042.1176 ", 1.500 , 0.651 
Kyrgyzstan,KGZ," 12,440,315.0588 ", 1.842 , 1.028 
Latvia,LVA," 13,596,545.5098 ", 15.333 , 1.452 
Lebanon,LBN," 13,383,316.0588 ", 4.900 , 0.463 
Lesotho,LSO," 2,063,943.6129 ", 4.467 , 0.518 
Liberia,LBR," 909,059.7843 ", 1.400 , 0.704 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Libya,LBY," 40,011,365.8824 ", 6.667 , 0.433 
Lithuania,LTU," 22,744,465.0000 ", 11.556 , 1.416 
Luxembourg,LUX," 10,581,405.1961 ", 24.286 , 0.854 
Macao,MAC," 1,081,587.9804 ", 5.000 , 0.422 
Madagascar,MDG," 1,721,903.2941 ", 80.289 , 0.436 
Malawi,MWI," 848,995.4510 ", 48.800 , 0.594 
Malaysia,MYS," 115,242,521.1176 ", 18.290 , 0.544 
Maldives,MDV," 498,224.8200 ", -   , 0.421 
Mali,MLI," 1,207,279.3333 ", 6.542 , 0.765 
Marshall Islands,MHL," 117,819.0345 ", -   , 0.365 
Martinique,MTQ," 1,661,890.6078 ", 4.750 , 0.445 
Mauritania,MRT," 1,454,901.4314 ", 3.667 , 0.942 
Mauritius,MUS," 2,165,562.8824 ", 2.438 , 0.349 
Mexico,MEX," 346,397,753.2353 ", 127.725 , 0.457 
Mongolia,MNG," 14,935,681.3529 ", 14.842 , 1.013 
Montenegro,MNE," 1,760,512.2353 ", 0.200 , 1.102 
Montserrat,MSR," 30,800.4706 ", 1.833 , 0.449 
Morocco,MAR," 32,359,908.2549 ", 43.966 , 0.870 
Mozambique,MOZ," 2,750,694.6275 "," 2,804.135 ", 0.403 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Myanmar,MMR," 10,214,103.0980 "," 4,112.353 ", 0.497 
Namibia,NAM," 2,534,642.8667 ", 12.571 , 0.707 
Nepal,NPL," 3,210,170.8039 ", 172.565 , 0.289 
Netherlands,NLD," 163,857,845.0196 ", 112.240 , 0.840 
New Caledonia,NCL," 2,729,630.3725 ", 1.571 , 0.396 
New Zealand,NZL," 27,809,786.5294 ", 1.300 , 0.345 
Nicaragua,NIC," 3,234,112.7059 ", 118.429 , 0.502 
Niger,NER," 890,819.4314 ", 22.964 , 0.678 
Nigeria,NGA," 74,068,034.5490 ", 84.250 , 0.664 
Norway,NOR," 38,186,086.4118 ", 0.455 , 0.779 
Oman,OMN," 24,519,878.2157 ", 22.769 , 0.456 
Pakistan,PAK," 96,427,594.5098 ", 398.667 , 0.359 
Palau,PLW," 193,161.2745 ", -   , 0.689 
Panama,PAN," 5,633,948.7843 ", 10.303 , 0.412 
Papua New Guinea,PNG," 3,238,306.9608 ", 10.237 , 0.384 
Paraguay,PRY," 3,366,480.2549 ", 9.889 , 0.365 
Peru,PER," 30,875,044.9608 ", 97.367 , 0.568 
Philippines,PHL," 62,492,547.0196 ", 915.510 , 0.521 
Poland,POL," 362,155,973.0196 ", 74.065 , 0.808 
Portugal,PRT," 43,800,120.6471 ", 127.464 , 0.690 
Qatar,QAT," 40,086,299.6667 ", -   , 0.662 
Romania,ROU," 130,546,290.2353 ", 38.294 , 0.621 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Russia,RUS," 1,799,156,787.7059 "," 2,188.037 ", 0.948 
Rwanda,RWA," 545,530.1961 ", 31.091 , 0.558 
Saint Helena,SHN," 9,390.7750 ", -   , 0.769 
Saint Kitts and Nevis,KNA," 158,492.4500 ", 0.750 , 0.449 
Saint Lucia,LCA," 274,277.9412 ", 2.615 , 0.424 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
