country_name,country_code,country_latitude,country_longitude,avg
"Korea, Republic of",KOR,37,127.5,0.54049019607843137255
South Korea,KOR,37,127.5,0.54049019607843137255
"Korea, Republic of",KOR,37,127.5,0.54049019607843137255
Kuwait,KWT,29.3375,47.6581,0.65080392156862745098
Kyrgyzstan,KGZ,41,75,1.02848275862068965517
Lao People's Democratic Republic,LAO,18,105,0.58186274509803921569
Latvia,LVA,57,25,1.4522068965517241
Lebanon,LBN,33.8333,35.8333,0.46343137254901960784
Lesotho,LSO,-29.5,28.5,0.51817647058823529412
Liberia,LBR,6.5,-9.5,0.70358823529411764706
Libyan Arab Jamahiriya,LBY,25,17,0.43301960784313725490
Libya,LBY,25,17,0.43301960784313725490
Libyan Arab Jamahiriya,LBY,25,17,0.43301960784313725490
Libya,LBY,25,17,0.43301960784313725490
Liechtenstein,LIE,47.1667,9.5333,0.88460784313725490196
Lithuania,LTU,56,24,1.4157931034482759
Luxembourg,LUX,49.75,6.1667,0.85378431372549019608
Macao,MAC,22.1667,113.55,0.42194117647058823529
"Macedonia, the former Yugoslav Republic of",MKD,41.8333,22,0.56080392156862745098
Madagascar,MDG,-20,47,0.43596078431372549020
Malawi,MWI,-13.5,34,0.59374509803921568627
Malaysia,MYS,2.5,112.5,0.54378431372549019608
Maldives,MDV,3.25,73,0.42093877551020408163
Mali,MLI,17,-4,0.76482352941176470588
Malta,MLT,35.8333,14.5833,0.67860784313725490196
Marshall Islands,MHL,9,168,0.36480000000000000000
Martinique,MTQ,14.6667,-61,0.44490196078431372549
Mauritania,MRT,20,-12,0.94205882352941176471
Mauritius,MUS,-20.2833,57.55,0.34886274509803921569
Mayotte,MYT,-12.8333,45.1667,0.32775000000000000000
Mexico,MEX,23,-102,0.45709803921568627451
"Micronesia, Federated States of",FSM,6.9167,158.25,0.27333333333333333333
"Moldova, Republic of",MDA,47,29,1.1715517241379310
Monaco,MCO,43.7333,7.4,0.70476470588235294118
Mongolia,MNG,46,105,1.01270588235294117647
Montenegro,MNE,42,19,1.1018965517241379
Montserrat,MSR,16.75,-62.2,0.44864000000000000000
Morocco,MAR,32,-5,0.87000000000000000000
Mozambique,MOZ,-18.25,35,0.40311764705882352941
Myanmar,MMR,22,98,0.49694117647058823529
Burma,MMR,22,98,0.49694117647058823529
Myanmar,MMR,22,98,0.49694117647058823529
Burma,MMR,22,98,0.49694117647058823529
Namibia,NAM,-22,17,0.70666666666666666667
Nauru,NRU,-0.5333,166.9167,0.04100000000000000000
Nepal,NPL,28,84,0.28931372549019607843
Netherlands,NLD,52.5,5.75,0.83994117647058823529
Netherlands Antilles,ANT,12.25,-68.75,0.44762745098039215686
New Caledonia,NCL,-21.5,165.5,0.39633333333333333333
New Zealand,NZL,-41,174,0.34488235294117647059
Nicaragua,NIC,13,-85,0.50176470588235294118
Niger,NER,16,8,0.67839215686274509804
Nigeria,NGA,10,8,0.66413725490196078431
Niue,NIU,-19.0333,-169.8667,0.04038095238095238095
Norfolk Island,NFK,-29.0333,167.95,0.32091304347826086957
Norway,NOR,62,10,0.77909803921568627451
Oman,OMN,21,57,0.45617647058823529412
Pakistan,PAK,30,70,0.35866666666666666667
Palau,PLW,7.5,134.5,0.68944000000000000000
"Palestinian Territory, Occupied",PSE,32,35.25,0.36392156862745098039
Panama,PAN,9,-80,0.41166666666666666667
Papua New Guinea,PNG,-6,147,0.38433333333333333333
Paraguay,PRY,-23,-58,0.36486274509803921569
Peru,PER,-10,-76,0.56770588235294117647
Philippines,PHL,13,122,0.52141176470588235294
Pitcairn,PCN,-24.7,-127.4,-0.10595000000000000000
Poland,POL,52,20,0.80780392156862745098
Portugal,PRT,39.5,-8,0.69023529411764705882
Puerto Rico,PRI,18.25,-66.5,0.53974509803921568627
Qatar,QAT,25.5,51.25,0.66229411764705882353
Réunion,REU,-21.1,55.6,0.43497916666666666667
Romania,ROU,46,25,0.62113725490196078431
Russian Federation,RUS,60,100,0.94768627450980392157
Russia,RUS,60,100,0.94768627450980392157
Russian Federation,RUS,60,100,0.94768627450980392157
Russia,RUS,60,100,0.94768627450980392157
Rwanda,RWA,-2,30,0.55845000000000000000
"Saint Helena, Ascension and Tristan da Cunha",SHN,-15.9333,-5.7,0.76890196078431372549
Saint Kitts and Nevis,KNA,17.3333,-62.75,0.44864000000000000000
Saint Lucia,LCA,13.8833,-61.1333,0.42376470588235294118
Saint Pierre and Miquelon,SPM,46.8333,-56.3333,0.23996078431372549020
St. Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent & the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
St. Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent & the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
St. Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent and the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Saint Vincent & the Grenadines,VCT,13.25,-61.2,0.42174509803921568627
Samoa,WSM,-13.5833,-172.3333,0.34785416666666666667
San Marino,SMR,43.7667,12.4167,0.68966666666666666667
Sao Tome and Principe,STP,1,7,0.56419148936170212766
Saudi Arabia,SAU,25,45,0.52166666666666666667
Senegal,SEN,14,-14,0.91674509803921568627
Serbia,SRB,44,21,1.5607333333333333
Seychelles,SYC,-4.5833,55.6667,0.38805882352941176471
Sierra Leone,SLE,8.5,-11.5,0.61554000000000000000
Singapore,SGP,1.3667,103.8,0.24160000000000000000
Slovakia,SVK,48.6667,19.5,0.75382352941176470588
Slovenia,SVN,46,15,1.4581034482758621
Solomon Islands,SLB,-8,159,0.27556250000000000000
Somalia,SOM,10,49,0.69547058823529411765
South Africa,ZAF,-29,24,0.50858823529411764706
South Georgia and the South Sandwich Islands,SGS,-54.5,-37,0.18757777777777777778
South Sudan,SSD,8,30,0.96760000000000000000
Spain,ESP,40,-4,0.70609803921568627451
Sri Lanka,LKA,7,81,0.60392156862745098039
Sudan,SDN,15,30,0.53568627450980392157
Suriname,SUR,4,-56,0.63450980392156862745
Svalbard and Jan Mayen,SJM,78,20,1.2361176470588235
Swaziland,SWZ,-26.5,31.5,0.43247058823529411765
Sweden,SWE,62,15,0.87064705882352941176
Switzerland,CHE,47,8,0.86031372549019607843
Syrian Arab Republic,SYR,35,38,0.51635294117647058824
"Taiwan, Province of China",TWN,23.5,121,0.38274509803921568627
Taiwan,TWN,23.5,121,0.38274509803921568627
"Taiwan, Province of China",TWN,23.5,121,0.38274509803921568627
Taiwan,TWN,23.5,121,0.38274509803921568627
Tajikistan,TJK,39,71,0.96134482758620689655
"Tanzania, United Republic of",TZA,-6,35,0.50939215686274509804
Thailand,THA,15,100,0.54460784313725490196
Timor-Leste,TLS,-8.55,125.5167,0.51602500000000000000
Togo,TGO,8,1.1667,0.67066666666666666667
