country_name,country_code,avg_deaths,country_latitude,country_longitude
Netherlands Antilles,ANT,6.5000000000000000,12.25,-68.75
New Caledonia,NCL,1.5714285714285714,-21.5,165.5
New Zealand,NZL,1.3000000000000000,-41,174
Nicaragua,NIC,118.4285714285714286,13,-85
Niger,NER,22.9642857142857143,16,8
Nigeria,NGA,84.2500000000000000,10,8
Northern Mariana Islands,MNP,1.00000000000000000000,15.2,145.75
Norway,NOR,0.45454545454545454545,62,10
Oman,OMN,22.7692307692307692,21,57
Pakistan,PAK,398.6666666666666667,30,70
Palau,PLW,0.00000000000000000000,7.5,134.5
Panama,PAN,10.3030303030303030,9,-80
Papua New Guinea,PNG,10.2368421052631579,-6,147
Paraguay,PRY,9.8888888888888889,-23,-58
Peru,PER,97.3673469387755102,-10,-76
Philippines,PHL,915.5098039215686275,13,122
Poland,POL,74.0645161290322581,52,20
Portugal,PRT,127.4642857142857143,39.5,-8
Puerto Rico,PRI,31.9545454545454545,18.25,-66.5
Qatar,QAT,0.00000000000000000000,25.5,51.25
Romania,ROU,38.2941176470588235,46,25
Russia,RUS,2188.0370370370370370,60,100
Russia,RUS,2188.0370370370370370,60,100
Rwanda,RWA,31.0909090909090909,-2,30
"Saint Helena, Ascension and Tristan da Cunha",SHN,0.00000000000000000000,-15.9333,-5.7
Saint Kitts and Nevis,KNA,0.75000000000000000000,17.3333,-62.75
Saint Lucia,LCA,2.6153846153846154,13.8833,-61.1333
Saint Vincent and the Grenadines,VCT,1.3333333333333333,13.25,-61.2
Saint Vincent and the Grenadines,VCT,1.3333333333333333,13.25,-61.2
Saint Vincent and the Grenadines,VCT,1.3333333333333333,13.25,-61.2
Samoa,WSM,3.9090909090909091,-13.5833,-172.3333
Sao Tome and Principe,STP,0.00000000000000000000,1,7
Saudi Arabia,SAU,28.6875000000000000,25,45
Senegal,SEN,10.2500000000000000,14,-14
Serbia,SRB,8.5454545454545455,44,21
Seychelles,SYC,1.00000000000000000000,-4.5833,55.6667
Sierra Leone,SLE,18.3571428571428571,8.5,-11.5
Slovakia,SVK,11.9411764705882353,48.6667,19.5
Slovenia,SVN,37.5000000000000000,46,15
Solomon Islands,SLB,8.5600000000000000,-8,159
Somalia,SOM,1291.1515151515151515,10,49
South Africa,ZAF,46.1282051282051282,-29,24
South Sudan,SSD,27.0000000000000000,8,30
Spain,ESP,407.4390243902439024,40,-4
Sri Lanka,LKA,60.4000000000000000,7,81
Sudan,SDN,4733.8125000000000000,15,30
Suriname,SUR,2.5000000000000000,4,-56
Sweden,SWE,3.0000000000000000,62,15
Switzerland,CHE,32.0000000000000000,47,8
Taiwan,TWN,54.8000000000000000,23.5,121
Taiwan,TWN,54.8000000000000000,23.5,121
Tajikistan,TJK,56.0344827586206897,39,71
Thailand,THA,130.1750000000000000,15,100
Togo,TGO,5.9285714285714286,8,1.1667
Tonga,TON,0.80000000000000000000,-20,-175
Trinidad and Tobago,TTO,0.88888888888888888889,11,-61
Tunisia,TUN,27.0769230769230769,34,9
Turkey,TUR,19.5652173913043478,39,35
Turkmenistan,TKM,0.00000000000000000000,40,60
Turks and Caicos Islands,TCA,0.80000000000000000000,21.75,-71.5833
Tuvalu,TUV,0.75000000000000000000,-8,178
Uganda,UGA,25.5384615384615385,1,32
Ukraine,UKR,58.5238095238095238,49,32
United Arab Emirates,ARE,0.00000000000000000000,24,54
United Kingdom,GBR,112.1944444444444444,54,-2
United States,USA,322.7254901960784314,38,-97
Uruguay,URY,1.6363636363636364,-33,-56
Uzbekistan,UZB,0.66666666666666666667,41,64
Vanuatu,VUT,4.6785714285714286,-16,167
Venezuela,VEN,1090.3928571428571429,8,-66
Venezuela,VEN,1090.3928571428571429,8,-66
Vietnam,VNM,382.4000000000000000,16,106
Vietnam,VNM,382.4000000000000000,16,106
Wallis and Futuna,WLF,0.33333333333333333333,-13.3,-176.2
Yemen,YEM,52.8571428571428571,15,48
Zambia,ZMB,3.7142857142857143,-15,30
Zimbabwe,ZWE,78.2500000000000000,-20,30
